Name,Address,Postcode,Website,Img,Volunteering,Arable,Livestock,Poultry,Dairy,Fruit,Grain,Vegetables,Farm Shop,Farmers Market,Nursery,Pick Your Own,Rewilding,Regenerative,Organic,Co-op,Red Tractor,Education,Notes,Replacement INSPIRE ID
A M Behagg Farms,"Hall Green, Low Rd, Fenstanton, Huntingdon ",PE28 9JD,,,,Y,,,,,,,,,,,,,,,,,,
Alpha Farms,"Fenstanton Rd, Huntingdon ",PE28 9JA,http://www.alphafarms.co.uk/,,,,,Y,,,,,,,,,,,,,,,"All our hens and ducks at Alpha Farms, Hilton are Free Range. We deliver directly to you  from Nest Box to your Home for the FRESHEST LOCALLY LAID FREE RANGE EGGS. ""TASTES BETTER NATURALLY""",
Avalon Eco Farm,"Meadow Rd, Willingham, Cambridge ",CB24 5JL,,,,Y,,,,,,,,,,,,,,,,,,
Bedlam Farms Organic,"Whitegates Farm, Upwell Rd, March ",PE15 0DP,https://www.bedlamfarms.co.uk/,https://www.bedlamfarms.co.uk/wp-content/uploads/2019/06/Farm2.jpg,,,,,,Y,,Y,,,,,,,Y,,,,"We are growers of specialist organic vegetables which are not widely available in the UK. Bedlam Farms Organic has a wide customer base and is proud to supply retailers, organic box schemes, wholesale markets and the hospitality sector with its high quality organic produce. Keep up to date with what’s going on by following us on instagram!",
BigBarn CIC,"Hamerton Rd, Alconbury Weston, Huntingdon ",PE28 4JD,https://www.bigbarn.co.uk/,,,,,,,,,,,Y,,,,,,,,,"Your best local hero food producers! Over 8,800 outlets on the BigBarn map. Track down the very best, freshest and locally produced food and drink in your area. Simply type in your postcode and discover a constantly updating new world of fine food and drink.",
Bury Lane Farm Shop,"A10, Melbourn, Meldreth, Royston ",SG8 6DF,https://burylane.co.uk/,https://burylane.co.uk/wp-content/uploads/2023/02/Bury-Lane-Home-Page-Vegatables-1536x1536.webp,,,,,,,,,Y,,,,,,,,,,"Starting life as a small hut on an orchard 40 years ago, Bury Lane has now grown into a unique destination with a farm shop, butchers, fishmongers, delicatessen, cafe, garden shop and children’s indoor Fun Barn and outdoor Beach play areas",
Bushel Box Farm Shop,"130 Station Rd, Willingham, Cambridge ",CB24 5HG,http://bushelboxfarmshop.co.uk/,https://bushelboxfarmshop.co.uk/wp-content/uploads/2023/05/IMG_8441-plum-trees-in-leaf-top-end-view-scaled.jpg,,,,,,,,,Y,,,,,,,,,,"We are located on a traditional working fruit farm where our family have been growing fruit and vegetables for almost one hundred years. Our crops are Plums, Apples and Pears as well as outdoor Asparagus. We have Apricots if the weather is kind. The shop is open all year round offering our own fresh produce alongside local Vegetables, Eggs, Bread, Honey, Preserves and Apple juice. We have a fridge full of specialist British Cheeses and Charcuterie and some luxury East Anglian Ice Creams and Confectionery.",
Bye's Farm,"2 Heath Rd, Swaffham Prior, Cambridge ",CB25 0LA,,,,Y,,,,,,,,,,,,,,,,,,
Cambridge Asparagus,"46 North Rd, Cambridge ",CB21 6AS,http://www.cambridgeasparagus.com/,,,,,,,,,Y,,,,,,,,,,,"A family run business offering mouth watering asparagus direct to the public, selected grocers and quality restaurants.",
Cambridge Farmers Market,"Market Square, Cambridge Cambridgeshire",CB2 3QJ,https://www.cambridge.gov.uk/markets,https://www.cambridge.gov.uk/media/3478/banner-montage-940-markets.jpg,,,,,,,,,,Y,,,,,,,,,"Traders have been running stalls at the historic market square in the city centre since the Middle Ages. It is open for trading from 10am to 4pm every day except Christmas Day, Boxing Day and New Year’s Day. You can buy fresh food and ingredients from a wide range of cuisines, as well as art, plants, clothes, jewellery, books, music and much more. Some traders are able to offer services such as bike and watch repair.",
