Period,Type,Subtype,Area,Code,Description,PerAgreement,PerYear,PerPlot,PerHectare,PerMetre,PerItem,Extra
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",AB3,Establishing beetle banks,,,,667,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",AB4,Creating skylark plots,,,10.38,,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",AB5,Creating nesting plots for lapwing and stone curlew,,,,587,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",AB6,Enhanced overwinter stubble,,,,522,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",AB7,Establishing spring cereal crops and harvesting as a whole crop,,,,584,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",AB8,Flower rich margins and plots,,,,673,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",AB10,Leaving cereal headlands unharvested,,,,822,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",AB11,Cultivate areas for arable plants,,,,550,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",AB14,Harvested low input cereal,,,,236,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",AB16,Autumn sown bumblebird mix,,,,637,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",BE1,Protecting in-field trees on arable land,,,,503,,,
Annual,Main payment,,"Arable, temporary grasslands areas and horticultural crops",GS3,Ryegrass seed-set as winter food for birds,,,,474,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",GS4,legume and herb-rich swards,,,,382,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",SW1,Creating and managing 4-6m buffer strip on cultivated land,,,,451,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",SW3,Having In-field grass strips,,,,658,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",SW4,Creating and managing 12-24m watercourse buffer strip on cultivated land,,,,612,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",SW5,Carrying out enhanced management of maize crops,,,,172,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",SW6,Establishing winter cover crops,,,,129,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",SW7,Arable reversion to grassland with low fertiliser inputs,,,,326,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",SW17,Raised water level on cropped or arable land on peat soils,,,,449,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",OP1,Leaving stubbles overwinter (organics),,,,176,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",OP2,Sowing wild bird seed mixture (organics),,,,768,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",OP3,Supplementary feeding for farmland birds (organics),,,,887,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",OP4,Establishing and managing a multi-species herbal ley (organics),,,,115,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",OP5,Undersowing cereals (organics),,,,306,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",OR3,Converting rotational land (including arable land) from conventional management to organic management (organics),,,,296,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",OR4,Converting horticultural land from conventional management to organic management (organics),,,,703,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",OR5,Converting land used to produce top fruit or permanent bush crops from conventional management to organic management (organics),,,,1254,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",OT3,Maintaining arable land under organic management (organics),,,,132,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",OT4,Maintaining horticultural land under organic management (organics),,,,471,,,
Annual,Main payment,CS,"Arable, temporary grasslands areas and horticultural crops",OT5,Maintaining land used to produce top fruit or permanent bush crops under organic management (organics),,,,1920,,,
Annual,Main payment,SFI,"Arable, temporary grasslands areas and horticultural crops",AHL1,Pollen and nectar flower mix,,,,614,,,
Annual,Main payment,SFI,"Arable, temporary grasslands areas and horticultural crops",AHL2,Winter bird food on arable and horticultural land,,,,732,,,
Annual,Main payment,SFI,"Arable, temporary grasslands areas and horticultural crops",AHL3,Grassy field corners and blocks,,,,590,,,
Annual,Main payment,CS,Grassland,GS2,Managing permanent grassland outside Severely Disadvantaged Areas (SDAs) with very low inputs,,,,151,,,
Annual,Main payment,CS,Grassland,GS3,Ryegrass seed-set as winter food for birds,,,,474,,,
Annual,Main payment,CS,Grassland,GS4,Establishing and maintaining legume and herb-rich swards,,,,382,,,
Annual,Main payment,CS,Grassland,GS5,Managing permanent grassland in SDAs with very low inputs,,,,151,,,
Annual,Main payment,CS,Grassland,GS6,Managing species-rich grassland,,,,182,,,
Annual,Main payment,CS,Grassland,GS7,Restoring grassland towards species-rich grassland,,,,235,,,
Annual,Main payment,CS,Grassland,GS8,Creating species-rich grassland,,,,428,,,
Annual,Main payment,CS,Grassland,GS9,Management of wet grassland for breeding waders,,,,353,,,
Annual,Main payment,CS,Grassland,GS10,Management of wet grassland for wintering waders and wildfowl,,,,217,,,
Annual,Main payment,CS,Grassland,GS11,Creation of wet grassland for breeding waders,,,,547,,,
Annual,Main payment,CS,Grassland,GS12,Creation of wet grassland for wintering waders and wildfowl,,,,450,,,
